Listing_Title,City,Area,Location,picode,Zone,Propery_Type,Size_In_Sqft,Carpet_Area_Sqft,Bedrooms,Bathrooms,Balcony,Frurnishing_Status,Amenities,Number_Of_Amenities,Security_Deposite,Rent_Price,Property_Age,Brokerage,Floor_No,Total_floors_In_Building,Maintenance_Charge,Nearby_Facilities,Recomened for,Muncipla Water Or Bore Water,Type of Society,Road Connectivity,Builder or Developer Name
1 RK Flat for Rent,Nagpur,itwari,"itwari , nagpur",,south zone,1 RK flat,1100 sqft,,1,1,,Unfurnished,,0,18545.65333,9272.826664,,No,,,No,"school, hospital, metro station,mall",family,,,under 2 km,
1 RK Flat for Rent,Nagpur,sitabuldi,"sitabuldi, nagpur",,south zone,1 RK flat,600 sqft,,1,1,,Unfurnished,,0,18229.39837,9114.699186,,No,,,No,"school,hospital,metro station ,mall",,,,under 500 m,
1 RK Flat for Rent,Nagpur,reshim bagh,"reshim bagh, nagpur",,north zone,1 RK flat,1100 sqft,,1,1,3,Unfurnished,"lift ,parking, power backpu, kids arear,water supply",5,30356.9747,15178.48735,5 years,yes,1 Floor,3 Floors,No,"school, hospital, metro station, mall","Family, batchelor, company",,,under 2 km,
Studio Apartment for Rent,Nagpur,nari village,"nari village, nagpur",,west zone,Studio Apartment,1100 sqft,,1,1,,Semi-Furnished,"power Backup,Water supply,Gated Community",3,20911.57202,10455.78601,13 years,No,,,No,"school, hospita, metro station, mall","Family, batchelor, company",,,under 2 km,
3 BHK Apartment for Rent,Nagpur,nandanwan,"Gurudev Nagar, Bapu Nagar, Nandanvan, Nagpur",,south zone,3 BHK Apartment,600 sqft,,3,3,,Unfurnished,,0,92679.96719,46339.9836,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
3 BHK Apartment for Rent,Nagpur,mahal,"mahal, nagpur",,west zone,3 BHK Apartment,1100 sqft,,3,3,,Furnished,,0,58270.00906,29135.00453,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
2 BHK Flat for Rent,Nagpur,mahal,"mahal, nagpur",,east zone,2 BHK flat,1100 sqft,,2,2,,Semi-Furnished,,0,12494.33117,6247.165586,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
1 RK Flat for Rent,Nagpur,ganeshpeth,"Ganeshpeth Colony, Nagpur",,south zone,1 RK flat,750 sqft,,1,2,,Semi-Furnished,,0,45841.64655,22920.82327,,No,3 Floor,4 floors,No,"school, hospita, metro station, mall",,,,under 2 km,
2 BHK Flat for Rent,Nagpur,rameshwari,"Bajrang Nagar, Rameshwari, Nagpur",,west zone,2 BHK flat,1100 sqft,450.sqft,2,2,1,Semi-Furnished,gas pipline,1,26126.24225,13063.12113,8 years,No,2 Floor,2 Floors,No,"school, hospita, metro station, mall","family, batchelor",,,under 2 km,
2 BHK Flat for Rent,Nagpur,dharampeth,"dharampeth, nagpur",,east zone,2 BHK flat,750 sqft,,2,2,3,Unfurnished,"parking, Security, ATM",3,68166.61885,34083.30943,1 year,yes,2 Floor,5 Floors,No,"school, hospita, metro station, mall,bus stop","Family, batchelor, company",,,under 500 m,
3 BHK Apartment for Rent,Nagpur,medical square,"Arihant plaza, Medical Chowk, Hanuman Nagar, Nagpur",,north zone,3 BHK Apartment,900 sqft,1100.sqft,3,3,3,Unfurnished,parking,1,47577.30679,23788.6534,3 years,yes,2 Floor,4 floors,No,"school, hospita, metro station, mall","batchelor,family",,,under 1 km,
2 BHK Flat for Rent,Nagpur,rameshwari,"Vilasnagar, Rameshwari, Nagpur",,west zone,2 BHK flat,600 sqft,,2,2,3,Furnished,,0,24286.37136,12143.18568,2 years,No,,,No,"school, hospita, metro station, mall",family,,,under 2 km,
Studio Apartment for Rent,Nagpur,dhantoli,"dhantoli, nagpur",,east zone,Studio Apartment,1100 sqft,,2,1,,Semi-Furnished,,0,10904.03228,5452.016142,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
3 BHK Apartment for Rent,Nagpur,dhantoli,"Ved Solitare, Dhantoli, Nagpur",,north zone,3 BHK flat,600 sqft,,3,3,2,Unfurnished,"pool,gym,lift,parking,power backup,intercom,pet allowed,garden, sport facility,kids area,geted community,water supply, gas pipline",13,36491.48275,18245.74138,5 years,yes,2 Floor,5 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
Studio Apartment for Rent,Nagpur,dhantoli,"Mits, Dhantoli, Nagpur",,north zone,Studio Apartment,600 sqft,,1,1,2,Unfurnished,parking,1,26127.15253,13063.57627,15 years,yes,1 Floor,3 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Apartment for Rent,Nagpur,kalamna,"kalamna,nagpur",,west zone,3 BHK flat,900 sqft,,3,3,,Furnished,,0,9033.459908,4516.729954,,No,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
1 RK Flat for Rent,Nagpur,jaripatka,"Divya Apartment, Jaripatka, Nagpur",,south zone,1 RK flat,1100 sqft,,1,1,,Semi-Furnished,,0,59599.86235,29799.93117,,No,1 Floor,4 floors,No,"school, hospita, metro station, mall","family,company",,,under 4 km,
1 RK Flat for Rent,Nagpur,jaripatka,"Welcome society nara, Jaripatka, Nagpur",,west zone,1 RK flat,900 sqft,,1,1,,Furnished,,0,19278.77544,9639.387721,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
3 BHK Apartment for Rent,Nagpur,mankapur,"mankapur,nagpur",,east zone,3 BHK Apartment,900 sqft,,3,3,,Furnished,,0,46380.60022,23190.30011,,No,1 Floor,3 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 3 km,
1 RK Flat for Rent,Nagpur,mankapur,"Khagde classic, Mankapur, Nagpur",,south zone,1 RK flat,900 sqft,1022.sqft,1,1,2,Semi-Furnished,"lift,parking,power backup,pet allowed,water supply",5,28359.51977,14179.75989,5 years,yes,2 Floor,5 Floors,yes,"school, hospita, metro station, mall","family,batchelor,company",,,under 500 mtrs,
3 BHK Apartment for Rent,Nagpur,jaitala,"Vasudev apartment, Jaitala, Nagpur",,north zone,3 BHK Apartment,750 sqft,1500.sqft,3,2,2,Furnished,"lift,parking,power backup,water supply,intercome,kids area",6,59669.61584,29834.80792,5 years,yes,3 Floor,5 Floors,No,"school, hospita, metro station, mall",family,,,under 1 km,
Studio Apartment for Rent,Nagpur,jaitala,"Aanad Nagar, Jaitala, Nagpur",,north zone,Studio Apartment,900 sqft,960.sqft,1,2,3,Unfurnished,parking,1,30670.70459,15335.3523,1 year,yes,1 Floor,1 Floor,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 2 km,
3 BHK Apartment for Rent,Nagpur,hingna,"L G Greenfield 1 Wing D, Hingna, Nagpur",,north zone,3 BHK flat,750 sqft,,3,3,2,Unfurnished,"gym,lift,garden,parking,kids area, water supply",6,20168.66077,10084.33039,5 years,No,1 Floor,4 Floors,No,"school, hospita, metro station, mall",family,,,under 5 km,
2 BHK Flat for Rent,Nagpur,hingna,"Green field 2, Hingna, Nagpur",,south zone,2 BHK flat,750 sqft,,2,2,,Furnished,,0,32381.37193,16190.68597,,No,,,No,"school, hospita, bus stop, mall",family,,,under 2 km,
1 RK Flat for Rent,Nagpur,hingna,"Paradise Hills New, Hingna, Nagpur",,east zone,1 RK flat,1100 sqft,,1,1,1,Semi-Furnished,,0,14697.12697,7348.563483,,No,3 Floor,4 Floors,No,"school, hospita, bus stop, mall,metro station","family,batchelor",,,under 2 km,
1 RK Flat for Rent,Nagpur,mihan,"First City Harmony, Mihan, Nagpur",,north zone,1 RK flat,1100 sqft,800.sqft,1,1,2,Unfurnished,"security,basket ball court,kids area, parking",4,57782.34494,28891.17247,2 years,yes,2 Floor,13 Floors,No,"school,hospita, bus stop,metro station,airport",family,,Township,under 4 km,
2 BHK Flat for Rent,Nagpur,mihan,"Shiv Kailasa, Mihan, Nagpur",,south zone,2 BHK flat,750 sqft,1200.sqft,2,2,3,Semi-Furnished,parking,1,62786.89224,31393.44612,1 year,yes,9 Floor,16 Floors,No,"school,hospital,bus stop,metro station","family,batchelor,company",,Township,under 6 km,
Studio Apartment for Rent,Nagpur,mihan,"Nagpur Integrated First City Project, Mihan, Nagpur",,east zone,Studio Apartment,900 sqft, ,2,1,1,Unfurnished,"pool,gym,lift,parking,power backup,intercom,pet allowed,garden, sport facility,kids area,geted community,water supply, gas pipline",13,34738.3979,17369.19895,5 years,yes,6 Floor,11 Floors,No,"school,hospital,metro station,airport","family,batchelor,company",,Township,under 1 km,
Studio Apartment for Rent,Nagpur,mihan,"Mahindra Bloomdale Building 10 B, Mihan, Nagpur",,west zone,Studio Apartment,900 sqft,,3,3,,Semi-Furnished,,0,20189.59575,10094.79787,,No,,,No,"school,hospital,metro station,bus stop",,,Township,under 5 km,
Studio Apartment for Rent,Nagpur,hingna,"Brick By Brick Green Park, Hingna, Nagpur",,west zone,Studio Apartment,600 sqft,,1,2,,Furnished,"lift, parking, gated cummunity, water supply",4,32342.89413,16171.44707,,No,,,No,"school,hospital,metro station,bus stop",,,Township,under 1 km,
1 RK Flat for Rent,Nagpur,hingna,"Paradise Hills New, Hingna, Nagpur",,east zone,1 RK flat,600 sqft,,1,1,1,Furnished,,0,14361.25082,7180.625412,3 years,No,3 Floor,4 floors,No,"school,hospital,metro station,bus stop","family,batchelor",,Township,under 1 km,
Studio Apartment for Rent,Nagpur,gotal panjri,"DHL Singapore Life City, Gotal Pajri, Nagpur",,north zone,Studio Apartment,900 sqft,,1,2,,Semi-Furnished,,0,22146.64093,11073.32047,,No,1 Floor,6 Floors,No,"school,hospital,metro station,airport","family,batchelor",,Township,under 1 km,
Studio Apartment for Rent,Nagpur,beltarodi,"Fakhri Babji Enclave, Prithviraj Nagar, Beltarodi, Nagpur",,north zone,Studio Apartment,900 sqft,900.sqft,3,2,1,Semi-Furnished,"lift , pet allowed, geted cummunity",3,61250.21807,30625.10903,1 year,No,4 Floor,4 Floors,yes,"school,hospital,metro station,airport","family,company",,Township,under 2 km,
2 BHK Flat for Rent,Nagpur,beltarodi,"Maxx Glory, Prithviraj Nagar, Beltarodi, Nagpur",,east zone,2 BHK flat,600 sqft,963.sqft,2,2,2,Unfurnished,"pool, gym,lift,parking,power backup, intercom,pet alloed, garden,sporty facility,kids area, geted cummunity, water supply",12,39134.58671,19567.29335,1 year,yes,7 Floor,13 Floors,No,"school,hospital,metro station,airport","family,company",,Township,under 4 km,
3 BHK Apartment for Rent,Nagpur,beltarodi,"Maxx Glory, Prithviraj Nagar, Beltarodi, Nagpur",,west zone,3 BHK flat,900 sqft,1400.sqft,3,3,3,Furnished,parking,1,56737.51318,28368.75659,1 year,yes,5 Floor,13 Floors,No,"school,hospital,metro station,airport","family,batchelor,company",,Township,under 4 km,
1 RK Flat for Rent,Nagpur,manewada,"Pyramid City 6, Manewada, Nagpur",,west zone,1 RK flat,600 sqft,,1,1,,Semi-Furnished,,0,41877.59205,20938.79602,,No,,,No,"school, hospita, metro station, mall",,,Township,under 4 km,
Studio Apartment for Rent,Nagpur,besa,"Atharva Nagari, Besa, Nagpur",,west zone,Studio Apartment,1100 sqft,673.sqft,1,2,3,Unfurnished,parking,1,31455.97122,15727.98561,3 years,yes,9 Floor,11 Floors,No,"school,hospital,metro station,airport",family,,Township,under 3 km,
3 BHK Apartment for Rent,Nagpur,godhni,godhni nagpur,,south zone,3 BHK Apartment,900 sqft,,3,3,,Furnished,,0,27419.14674,13709.57337,,No,,,No,"school, hospita, metro station, mall",,,Township,under 1 km,
Studio Apartment for Rent,Nagpur,zingabai takli,"Om Satyam Tulip, Zingabai Takli, Nagpur",,west zone,Studio Apartment,750 sqft,,3,2,1,Furnished,parking,1,27438.49343,13719.24672,,No,,,No,"school, hospita, metro station, mall",family,,Township,under 1 km,
Studio Apartment for Rent,Nagpur,nandanwan,"Shaikh consultancy, Bapu Nagar, Nandanvan, Nagpur",,east zone,Studio Apartment,600 sqft,950.sqft,3,1,3,Semi-Furnished,"lift ,parking,power backup,intercom,sports facility, kids area,water supply, gas pipeline",8,45136.97502,22568.48751,10 years,yes,2 Floor,4 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,Township,under 1 km,
3 BHK Apartment for Rent,Nagpur,kotewada,"Mahalaxmi Nagar 10, Kotewada, Nagpur",,north zone,3 BHK Apartment,600 sqft,,3,3,3,Unfurnished,"garden,kids area,gated community,water supply",4,37221.4806,18610.7403,1 year,No,,,No,"school, hospita, metro station","family,batchelor,company",,Township,under 10 km,
1 RK Flat for Rent,Nagpur,kotewada,"Fire The Empyrean, Kotewada, Nagpur",,south zone,1 RK flat,1100 sqft,,1,5,,Furnished,,0,93935.941,46967.9705,,No,,,No,"school, hospita, metro station","family,batchelor,company",,Township,under 10 km,
Studio Apartment for Rent,Nagpur,dighori,"dighori, nagpur",,east zone,Studio Apartment,750 sqft,,1,4,2,Semi-Furnished,parking,1,13130.81329,6565.406645,,No,,,No,"school, hospita, metro station, mall",batchelor ,,,under 1 km,
Studio Apartment for Rent,Nagpur,pratap nagar,"Rachana house, Pratap Nagar, Nagpur",,west zone,Studio Apartment,600 sqft,,2,4,5,Semi-Furnished,parking,1,136088.3545,68044.17725,5 years,yes,Ground Floor,2 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
2 BHK Flat for Rent,Nagpur,pratap nagar,"pratap nagar, nagpur",,west zone,2 BHK Flat,750 sqft,,2,2,3,Unfurnished,parking,1,38269.32729,19134.66365,1 year,yes,,,No,"school,hospital,metro station,airport","family,batchelor,company",,,under 1 km,
2 BHK Flat for Rent,Nagpur,seminary hills,"Himalaya hills, Seminary Hills, Nagpur",,West,2 BHK flat,600 sqft,1169.sqft,2,2,2,Unfurnished,"parking,powert backup,pet allowed, water supply",4,41896.56448,20948.28224,5 years,yes,,,yes,"school, hospita, metro station, mall","family,batchelor,company",,,under 4 km,
Studio Apartment for Rent,Nagpur,dabha,"Datta Niwas, Dabha, Vayusena Nagar, Nagpur",,West,Studio Apartment,900 sqft,1055.sqft,3,2,2,Furnished,"parking ,pet allowd,water supply",3,29701.24769,14850.62385,3 years,yes,,,yes,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Apartment for Rent,Nagpur,nandanwan,"SM consultancy, Nandanvan, Nagpur",,east zone,3 BHK Apartment,600 sqft, 1163.sqft,3,3,2,Semi-Furnished,"parking, security, ATM",3,31456.63124,15728.31562,4 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 500m,
2 BHK Flat for Rent,Nagpur,ram nagar,"ram nagar ,nagpur",,south zone,2 BHK flat,750 sqft,1050.sqft,2,2,2,Furnished,parking,1,65617.82511,32808.91255,10 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 500m,
3 BHK Apartment for Rent,Nagpur,manish nagar,"Manish Nagar ,Nagpur",,west zone,3 BHK Apartment,750 sqft,900.sqft,3,3,1,Unfurnished,"parking,gas pipeline",2,25944.85148,12972.42574,,No,,,No,"school, hospita, metro station, airport",bachelor,,,under 1 km,
2 BHK Flat for Rent,Nagpur,chandrakiran nagar,"chandrakiran nagar, nagpur",,West,2 BHK Flat,600 sqft,1800.sqft,2,2,3,Furnished,"parking,pet allowed,water supply",3,30499.80337,15249.90169,,No,,,No,"school,hospital,mall",family,,,under 1 km,
2 BHK Flat for Rent,Nagpur,duttawadi,"duttawadi,nagpur",,east zone,2 BHK flat,600 sqft,,2,2,4,Unfurnished,parking,1,22998.84429,11499.42215,15 years,No,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
3 BHK Apartment for Rent,Nagpur,bharatwada,"bharatwada,nagpur",,West,3 BHK Apartment,600 sqft,,3,3,,Furnished,,0,13725.30754,6862.65377,,No,,,No,"school,hospital,metro station,bus stop",,,,under 4 km,
Studio Apartment for Rent,Nagpur,boriyapura,"boriyapura,nagpur",,West,Studio Apartment,750 sqft,,2,3,,Semi-Furnished,"power backup,garden,water supply",3,15408.63349,7704.316746,,No,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
Studio Apartment for Rent,Nagpur,omkar nagar,"Omkar Nagar, Gajanan Nagar, Nagpur",,south zone,Studio Apartment,900 sqft,,3,2,,Furnished,"pet allowed,garden,water supply",3,47072.51162,23536.25581,,No,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
2 BHK Flat for Rent,Nagpur,zingabai takli,"Arti township zingabai takli , Bhokara, Nagpur",,south zone,2 BHK flat,900 sqft,,2,1,1,Unfurnished,,0,11530.28461,5765.142306,10 years,No,,,No,"school,hospital,metro station,bus stop",family,,,under 2 km,
2 BHK Flat for Rent,Nagpur,khamla,"Purandar, Pande Layout, Khamla, Nagpur",,east zone,2 BHK flat,1100 sqft,2000.sqft,2,2,1,Furnished,,0,63013.4944,31506.7472,1 year,No,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
Studio Apartment for Rent,Nagpur,khamla,"Pande Layout, Khamla, Nagpur",,south zone,Studio Apartment,1100 sqft,1450.sqft,3,3,2,Furnished,"parking ,pet allowd,garden,ATM,gym,fire fighting sysytem,kids area",7,68999.30568,34499.65284,5 years,yes,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
Studio Apartment for Rent,Nagpur,beltarodi,"beltarodi, nagpur",,south zone,Studio Apartment,1100 sqft,,3,3,2,Semi-Furnished,"pool,gym,lift,power backup,intercom,pet allowed,garden,sports facility,kids area ,geted cummunity,water supply,gas pipline",12,50547.64738,25273.82369,5 years,No,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
3 BHK Apartment for Rent,Nagpur,narendra nagar extension,"Narendra Nagar Extension, Nagpur",,east zone,3 BHK flat,900 sqft,1400.sqft,3,3,3,Furnished,parking,1,41413.66424,20706.83212,12 years,yes,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
2 BHK Flat for Rent,Nagpur,ram nagar,"ram nagar ,nagpur",,south zone,2 BHK flat,750 sqft,,2,1,1,Unfurnished,parking,1,30544.83218,15272.41609,5 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
Studio Apartment for Rent,Nagpur,ganeshpeth,"SM consultancy, Ganeshpeth Colony, Nagpur",,east zone,Studio Apartment,750 sqft,514.sqft,1,1,2,Unfurnished,parking,1,20457.64566,10228.82283,6 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 500m,
Studio Apartment for Rent,Nagpur,wathoda,"Wathoda, Wathoda Layout, Kharbi, Nagpur",,east zone,Studio Apartment,750 sqft,1300.sqft,2,3,2,Furnished,parking,1,50618.29962,25309.14981,12 years,yes,,,No,"school, hospita, metro station, mall","family,company",,,under 1 km,
2 BHK Flat for Rent,Nagpur,gandhibagh,"Shaikh consultancy, Gandhibagh, Nagpur",,south zone,2 BHK flat,900 sqft,600.sqft,2,2,2,Furnished,parking,1,18953.09495,9476.547473,5 years,yes,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
2 BHK Flat for Rent,Nagpur,wathoda,"Wathoda, Byramji Town, Nagpur",,east zone,2 BHK flat,900 sqft,,2,2,3,Unfurnished,parking,1,46978.38941,23489.1947,9 years,yes,,,No,"school, hospita, metro station, mall","family,company",,,under 1 km,
1 RK Flat for Rent,Nagpur,Trimurti Nagar,"Shingade niwas, Subhash Nagar, Trimurti Nagar, Nagpur",,West,1 RK flat,600 sqft,,1,1,,Unfurnished,"paeking ,water supply",2,10168.47378,5084.236888,,No,,,No,"school, hospita, metro station, airport",bachelor,,,under 1 km,
Studio Apartment for Rent,Nagpur,dighori,"Sai Ashray, Dighori, Nagpur",,north zone,Studio Apartment,1100 sqft,1100.sqft,2,2,2,Semi-Furnished,parking,1,29664.39875,14832.19938,,No,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 2 km,
2 BHK Flat for Rent,Nagpur,kharbi,"Shaikh consultancy, Kharbi, Nagpur",,north zone,2 BHK flat,750 sqft,1300.sqft,2,2,4,Furnished,parking,1,34315.81028,17157.90514,5 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Apartment for Rent,Nagpur,wardhman nagar,"wardhaman nagar,nagpur",,West,3 BHK Apartment,750 sqft,1500.sqft,3,3,4,Semi-Furnished,"parking, paower backup,pet allowed,garden,sports facility,kids area,geted community,water supply",8,48730.92013,24365.46007,5 years,yes,Ground Floor,2 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
1 RK Flat for Rent,Nagpur,nandanwan,"nandanwan,nagpur",,south zone,1 RK flat,900 sqft,753.sqft,1,1,2,Furnished,"parking,kids area, ATM",3,19797.72343,9898.861713,,yes,,,No,"school,hospital,metro station,bus stop","family,batchelor,company",,,under 500m,
3 BHK Apartment for Rent,Nagpur,itwari,"itwari , nagpur",,north zone,3 BHK flat,900 sqft,1365.sqft,3,3,2,Semi-Furnished,"parking,close to jain temple",2,91715.72153,45857.86077,5 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
Studio Apartment for Rent,Nagpur,dharampeth,"dharampeth, nagpur",,west zone,Studio Apartment,1100 sqft,,2,3,3,Semi-Furnished,parking,1,91450.50363,45725.25182,2 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
Studio Apartment for Rent,Nagpur,ashirwad nagar,"ashirwad nagar , nagpur",,West,Studio Apartment,600 sqft,,2,3,3,Unfurnished,parking,1,37450.02228,18725.01114,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
1 RK Flat for Rent,Nagpur,besa,"besa, nagpur",,east zone,1 RK flat,600 sqft,150.sqft,1,1,,Unfurnished,,0,10494.64266,5247.321332,10 years,yes,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
3 BHK Apartment for Rent,Nagpur,Trimurti Nagar,"Subhash Nagar, Trimurti Nagar, Nagpur",,West,3 BHK Apartment,1100 sqft,,3,3,1,Furnished,"parking, pet allowed,garden,sports facility,kids area, water supply,gas pipeline",7,21434.65528,10717.32764,,No,,,No,"school, hospita, metro station, airport","family,company",,,under 1 km,
3 BHK Apartment for Rent,Nagpur,sanmarga nagar,"sanmarga nagar, nagpur",,West,3 BHK flat,900 sqft,,3,3,,Furnished,,0,6716.138484,3358.069242,,No,,,No,"school, hospita, metro station, mall","family, batchelor",,,under 1 km,
Studio Apartment for Rent,Nagpur,kalmeshwar ,"Pravin electronics , Kalameshwar, Nagpur",,east zone,Studio Apartment,1100 sqft,,2,1,,Unfurnished,,0,7946.05139,3973.025695,,No,,,No,"school,hospital,bus stop,mall",,,,under 1 km,
Studio Apartment for Rent,Nagpur,narsala,"S H Town, Narsala, Nagpur",,West,Studio Apartment,750 sqft,1600.sqft,3,3,2,Furnished,"parking, pet allowed,garden,geted community,water supply",5,49231.79621,24615.89811,,yes,,,yes,"school, hospita, metro station, mall","family,company",,,under 2 km,
3 BHK Apartment for Rent,Nagpur,mihan,"mihan,nagpur",,south zone,3 BHK Apartment,750 sqft,,3,3,3,Furnished,"pool,parking,garden,kids area,gated community",5,32989.91408,16494.95704,,No,,,No,"school, hospita, metro station, airport","family,company",,,under 1 km,
Studio Apartment for Rent,Nagpur,koradi colony,"Koradi Road, Koradi Colony, Nagpur",,West,Studio Apartment,900 sqft,3800.sqft,2,1,3,Semi-Furnished,parking,1,105023.262,52511.631,2 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Apartment for Rent,Nagpur,manewada,"Emaar Madan Ratan City Villa, Manewada, Nagpur",,west zone,3 BHK Apartment,600 sqft, ,3,3,2,Furnished,"parking,pet allowed, garden,gated community",4,57908.81911,28954.40956,,No,,,No,"school, hospita, metro station, mall",family,,Township,under 1 km,
2 BHK Flat for Rent,Nagpur,dighori,"dighori, nagpur",,west zone,2 BHK flat,750 sqft,,2,2,,Semi-Furnished,,0,8499.363938,4249.681969,1 year,No,,,No,"school, hospita, metro station, mall",batchlor,,,under 2 km,
Studio Apartment for Rent,Nagpur,teka naka,"teka naka, nagpur",,West,Studio Apartment,900 sqft,,3,2,,Furnished,geted community,1,38972.51704,19486.25852,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
2 BHK Flat for Rent,Nagpur,wanadongri,"wanadongari, nagpur",,West,2 BHK flat,1100 sqft,1200.sqft,2,2,2,Unfurnished,parking,1,29078.87915,14539.43957,10 years,No,,,No,"school,hospital,metro station,bus stop",family,,,under 1 km,
3 BHK Apartment for Rent,Nagpur,gandhibagh,"gandhibag, nagpur",,east zone,3 BHK flat,1100 sqft,,3,3,,Unfurnished,,0,20862.65302,10431.32651,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
3 BHK Apartment for Rent,Nagpur,sonegaon,"Parate nagar, Sonegaon, Nagpur",,south zone,3 BHK flat,1100 sqft,  ,3,3,,Semi-Furnished,,0,23768.34257,11884.17128,,No,,,No,"school, hospita, metro station, airport",,,,under 1 km,
Studio Apartment for Rent,Nagpur,shatabdi square,"Shatabdi Square, Nagpur, Maharashtra",,south zone,Studio Apartment,1100 sqft,1500 sqft,3,2,,Furnished,Wifi,1,38363.27927,19181.63963,Less than 5 years,No,2 Floor,2 Floors,No,"school, hospita, metro station, airport",family,,,under 1 km,
2 BHK Flat for Rent,Nagpur,hudkeswar,"Devashree Krishnam Nagari Location Hudkeshwar Road Nagpur, Sanmarga Nagar, Nagpur",,south zone,2 BHK flat,600 sqft,,2,2,,Furnished,,0,28266.91596,14133.45798,5 years,No,,,No,"School,Hospital, metro station, mall",,,,under 2 km,
Studio Apartment for Rent,Nagpur,manish nagar,"Sr realators, Manish Nagar, Nagpur",,south zone,Studio Apartment,900 sqft,,2,1,1,Unfurnished,"ATM,gym,kids pool,fire fighting ,lift,parking,pet allowed,garden,water supply,gated Community",10,23120.08334,11560.04167,1 year,yes,2 Floor,4 floors,No,"school, hospital,metro station,mall","family,batchelor",,,under 1 km,
2 BHK Flat for Rent,Nagpur,narendra nagar extension,"Mits, Narendra Nagar Extension, Nagpur",,south zone,2 BHK flat,750 sqft,,2,2,,Semi-Furnished,parking,1,42016.90052,21008.45026,8 years,yes,Ground Floor,2 Floors,No,"school, hospital,metro station,airport","family,batchelor",,,under 1 km,
Studio Apartment for Rent,Nagpur,narendra nagar extension,"Narendra Nagar Extension, Nagpur",,east zone,Studio Apartment,750 sqft,500.sqft,1,1,1,Furnished,"lift ,parking",2,21580.71088,10790.35544,5 years,yes,3 Floor,3 Floors,No,"school,hospital,metro station,airport","family,batchelor,company",,,under 1  km,
1 RK Flat for Rent,Nagpur,manewada,"Arya apartment, Manewada, Nagpur",,north zone,1 RK flat,1100 sqft,,1,1,2,Semi-Furnished,parking,1,32147.83395,16073.91698,1 year,yes,2 Floor,16 Floors,No,"school, hospital,metro station,mall","family,batchelor,company",,,under 1 km,
2 BHK Flat for Rent,Nagpur,manewada,"Manewada, Nagpur",,west zone,2 BHK flat,750 sqft,,2,2,1,Semi-Furnished,parking,1,19685.01372,9842.50686,,yes,3 Floor,5 Floors,No,"school,hospital,metro station,mall",family,,,under 1 km,
1 RK Flat for Rent,Nagpur,itwari,"itwari , nagpur",,west zone,2 RK flat,1100 sqft,,2,2,,Semi-Furnished,,0,45980.72368,22990.36184,,No,,,No,"school, hospital, metro station,mall",family,,,under 2 km,
2 BHK Flat for Rent,Nagpur,sitabuldi,"sitabuldi, nagpur",,north zone,2 BHK Flat,900 sqft,,2,2,,Semi-Furnished,,0,32734.49844,16367.24922,,No,,,No,"school,hospital,metro station ,mall",,,,under 500 m,
